,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
158,vibe academy,frozen grapes,frozen grapes,5vMkAdCEgGVbPqmyFR9fB8,0.766,0.659,3,-11.221,1,0.0943,0.925,0.386,0.626,81.988,95854,4
159,Ensidya,One Day at a Time,One Day at a Time,3YzOBxLQQVvqKH8xR0XgNh,0.457,0.421,4,-12.465,0,0.0693,0.715,0.167,0.459,94.07,121451,4
160,_91nova,Lazily,Lazily,31O9nHEGRZGcAVDxHL1g56,0.77,0.821,8,-5.982,1,0.0666,0.946,0.154,0.559,156.066,138462,4
161,Gold School,Playground,The Neighborhood,1fRCaeLqrS0hlbuyrmJyNz,0.605,0.223,3,-15.03,0,0.0431,0.869,0.13,0.439,84.984,92176,4
162,Zifon,Alleviate,Relevance,5xntfyh1ivokbbC3cV7268,0.623,0.401,5,-13.573,1,0.381,0.939,0.12,0.0397,180.086,106687,4
163,Maoen,Group Study,Group Study,5OxxVnONU85inGDHoRBs2M,0.701,0.326,8,-14.274,0,0.0409,0.903,0.104,0.929,170.103,90353,4
164,Sweet Oscar,Back Alley Conversations,Saturday Afternoon,5GSoiFJwXZY3DfPDkVHwS6,0.683,0.517,0,-9.421,1,0.107,0.878,0.0961,0.443,160.038,121500,4
165,Living Room,Whiskey Jazz,Whiskey Jazz,2sig8mxmjeVn3MUPn6NeAC,0.634,0.261,7,-13.96,0,0.0751,0.795,0.139,0.386,85.086,130182,4
166,Monkey Larsson,California Dreaming,Smokes,2FGPAygk8Vsg13PZ51qINX,0.525,0.697,0,-9.779,1,0.071,0.826,0.145,0.219,179.969,96021,4
167,Lazy Leopard,Moon Lip,Moon Lip,2vy02ol7WFVDLp9NWIRt9L,0.705,0.328,11,-13.355,0,0.06,0.857,0.183,0.281,139.868,120000,4
168,Bishop Beckett,Postcards,Postcards,6CCXRC8JslvUainLY7In0P,0.772,0.399,9,-16.308,1,0.0671,0.964,0.0962,0.37,100.001,135000,4
169,Vancgroover,Morning Bop,Morning Bop,7zK6zgXTPYVpWa2W0mRghL,0.604,0.474,8,-8.525,1,0.0757,0.763,0.113,0.503,80.031,159000,4
170,beosound,straight no chaser,jazzy gyal,0uban5XYHLYwQQIOPLpwEZ,0.82,0.402,4,-8.702,0,0.223,0.025,0.125,0.165,92.084,93913,4
171,Le Pug,Lint,Lint,7JtmJQRQOIrI3yfNyoqfw1,0.839,0.509,7,-9.29,0,0.168,0.753,0.146,0.762,83.995,162143,4
172,Crate Diggers,Mixtape,Jazzy Conscience,1fwiNplwwbDWodDUHiUHdU,0.699,0.297,4,-6.487,0,0.0449,0.752,0.107,0.557,180.244,85111,4
173,Crate Diggers,Luscious,Lucy Dreamer,0JczY880Kt9FviLxsimJd6,0.685,0.377,0,-12.374,0,0.348,0.788,0.131,0.597,84.136,92500,4
174,shamgang,Moods 2020,rebounce,2tW8wzVmE4NZNX2dCpDyz4,0.687,0.577,10,-7.801,0,0.0736,0.841,0.108,0.606,91.988,122609,4
175,Lazy Leopard,Brooklyn,Brooklyn,6dtGKLkb3KjWffRKNDfrYu,0.755,0.368,5,-12.653,1,0.172,0.839,0.0982,0.616,146.0,113836,4
176,Bat Bilger,Momentum,Momentum,7q6aQazraLUiuCUVkoYOb2,0.629,0.409,8,-9.009,0,0.0671,0.854,0.0867,0.802,80.152,128294,4
177,Codename Chinadoll,Selected Lifestyle Poems,Jazzy Afternoon,4zT7o5DXTHqujNoe4tX1y2,0.668,0.321,10,-11.569,1,0.109,0.94,0.122,0.0913,90.025,106687,4
178,stilistics,ready set go,just relax,0POolioSzFOWb0n0it50Lz,0.737,0.21,1,-19.176,1,0.0878,0.696,0.104,0.305,79.992,96023,4
179,Nadja Salkova,Walking In The Rain,Anime Allstars,6QlFygpU82COhwOT7Nz6Pv,0.647,0.367,10,-12.356,1,0.0659,0.937,0.11,0.038,187.912,102181,4
180,Hi Hat Henry,Funkophomatic,Funkophomatic,3llezaxf0tOO3n0S81ZgDI,0.712,0.825,7,-9.328,1,0.123,0.843,0.151,0.761,84.974,160941,4
181,Bishop Beckett,Postcards,Tears Letter,6WnL7XZeTosmToGsaMypPl,0.845,0.178,10,-15.634,1,0.0631,0.904,0.114,0.241,100.013,128400,4
182,one life extra,intergalactic soundscapes,alpha centauri jam,4l8wjOPB3ccThnxSacAkME,0.698,0.323,9,-12.088,1,0.0939,0.89,0.208,0.41,90.082,90021,4
183,Beat Oven,High,Stere-Ereo,7q524Q3DkeF1TWRpHI5mLO,0.735,0.468,4,-10.695,1,0.14,0.662,0.34,0.873,85.04,96353,4
184,Freckle & Pete,BeatStop,BeatStop,6wC0qvBQ705DXdclZTWaec,0.744,0.205,11,-12.628,1,0.137,0.923,0.104,0.545,75.044,116285,4
185,Mike Angello,Hysteria,Wednesday,5HuWX6GZ5s9cOYVSv3Pi0j,0.672,0.491,0,-8.989,0,0.0549,0.781,0.0632,0.432,179.999,76000,4
186,Dusty Decks,On the Keys of Steel,Poetic Wax,6ueWeJJyq1rMkdNitaL7a6,0.707,0.506,3,-7.686,1,0.0624,0.916,0.118,0.894,193.982,143505,4
187,Just Steezy Things,Guava Gods,Guava Gods,3MY68eRK74kdGZucW8d8bA,0.715,0.116,5,-16.642,0,0.0354,0.788,0.0928,0.578,90.054,117333,4
188,HÖNS,Tender,Solution,2A2eYjmKioXlENYqs2rxB9,0.779,0.263,2,-12.451,1,0.1,0.818,0.105,0.489,69.986,106500,4
189,Oilix,Summer Loves You,Surf Boogie,04aD25LiPRSZfT2lz1mGw8,0.673,0.587,10,-6.806,0,0.0501,0.0841,0.127,0.569,89.986,130667,4
190,Sobremesa,Wee Hours,Wee Hours,1AmusTPVvkxMo7pTKrGWoE,0.671,0.622,2,-8.898,0,0.0401,0.849,0.0999,0.522,181.953,152417,4
191,Floraboros,Heat Wave,Heat Wave,0C3u3qhOe64OTvfUq0MD9M,0.763,0.425,1,-8.128,1,0.0589,0.713,0.1,0.497,84.992,128471,4
192,Moe Ito,Brunch Time,Brunch Time,3K53uwXTeTZJ1e1G4aZuqU,0.89,0.407,3,-11.32,1,0.0405,0.904,0.103,0.627,84.999,183529,4
193,DJ Grumble,Ft2020,HelloHello,65IGYjWJG1Esvl5vA8UTqA,0.676,0.792,2,-4.291,1,0.0377,0.346,0.101,0.866,101.197,80405,4
194,Beat Oven,Chips & Dip,Chips,2cXdC5qNqc5Gk0X6JtjUqH,0.725,0.434,6,-8.768,1,0.192,0.789,0.119,0.957,179.936,90667,4
